postal_code,tax_rate,school_quality,crime_rate
PC-001,1.04,6.9,28.9
PC-002,0.56,4.9,21.4
PC-003,1.89,3.4,68.4
PC-004,2.67,5.5,27.7
PC-005,1.76,7.9,37.9
PC-006,1.96,2.5,11.9
PC-007,0.54,2.2,27.6
PC-008,1.96,8.2,11.4
PC-009,3.33,4.4,30.8
PC-010,3.05,7.6,58.2
PC-011,2.69,7.9,78.0
PC-012,0.83,9.5,51.9
PC-013,3.18,5.2,25.2
PC-014,3.07,4.9,54.3
PC-015,1.0,8.5,52.0
PC-016,2.4,8.1,66.9
PC-017,0.56,7.2,45.0
PC-018,0.85,8.5,73.3
PC-019,1.45,7.1,36.2
PC-020,0.97,9.7,26.5
PC-021,2.78,4.7,43.9
PC-022,2.95,7.9,74.2
PC-023,1.53,9.6,59.3
PC-024,1.46,4.7,42.0
PC-025,0.83,6.9,42.3
PC-026,0.75,4.9,53.7
PC-027,2.64,5.7,38.6
PC-028,2.3,2.6,46.3
PC-029,0.67,2.2,77.8
PC-030,1.94,8.1,74.9
PC-031,1.71,5.6,68.1
PC-032,3.04,7.0,14.5
PC-033,2.65,7.9,46.7
PC-034,2.31,5.3,32.5
PC-035,2.16,4.9,73.4
PC-036,3.35,3.4,28.5
PC-037,3.46,8.4,74.8
PC-038,1.51,8.7,22.9
PC-039,1.22,7.9,36.5
PC-040,2.89,9.0,77.0
PC-041,0.69,7.2,49.7
PC-042,1.59,7.6,74.9
PC-043,0.71,3.5,45.4
PC-044,1.46,8.1,22.1
PC-045,0.71,4.7,58.5
PC-046,1.37,5.5,44.1
PC-047,2.87,4.6,42.9
PC-048,3.22,6.5,15.2
PC-049,2.88,7.3,15.9
PC-050,2.19,6.6,74.7
