property_id,postal_code,market_value,squared_m,num_rooms,wall_color,wall_color_hex,locker_number
PR-00001,PC-025,237702.4,52.1,2,Blush Pink,#F9C6C9,218
PR-00002,PC-030,260721.26,68.9,1,Forest Green,#228B22,296
PR-00003,PC-012,443996.34,195.2,7,Blush Pink,#F9C6C9,268
PR-00004,PC-040,289208.68,47.6,2,Blush Pink,#F9C6C9,16
PR-00005,PC-046,365685.15,148.4,6,Forest Green,#228B22,262
PR-00006,PC-015,466777.03,217.4,8,Mustard Yellow,#E1AD01,270
PR-00007,PC-021,268927.31,46.1,1,Terracotta,#E2725B,84
PR-00008,PC-001,343122.94,102.6,4,Slate Gray,#708090,106
PR-00009,PC-002,329859.53,127.4,5,Forest Green,#228B22,53
PR-00010,PC-010,353715.78,79.8,2,Blush Pink,#F9C6C9,46
PR-00011,PC-022,502733.48,219.3,7,Mustard Yellow,#E1AD01,174
PR-00012,PC-039,498189.85,212.5,7,Slate Gray,#708090,43
PR-00013,PC-040,495582.33,208.6,6,Sage Green,#9CAF88,266
PR-00014,PC-031,219225.91,75.5,1,Blush Pink,#F9C6C9,242
PR-00015,PC-040,481629.63,196.2,7,Sky Blue,#87CEEB,3
PR-00016,PC-029,201250.82,140.5,5,Slate Gray,#708090,157
PR-00017,PC-006,342186.69,112.4,3,Sage Green,#9CAF88,93
PR-00018,PC-049,541961.35,164.8,7,Forest Green,#228B22,43
PR-00019,PC-042,319374.97,131.2,4,Ivory White,#FFFFF0,285
PR-00020,PC-036,477833.72,173.4,6,Mustard Yellow,#E1AD01,250
PR-00021,PC-014,256433.65,39.0,1,Sand Beige,#F4E1C1,3
PR-00022,PC-015,409689.19,172.6,6,Blush Pink,#F9C6C9,129
PR-00023,PC-034,325332.98,72.3,2,Mustard Yellow,#E1AD01,145
PR-00024,PC-037,460400.29,163.6,5,Slate Gray,#708090,292
PR-00025,PC-024,397116.02,183.7,6,Mustard Yellow,#E1AD01,189
PR-00026,PC-044,527080.09,207.1,7,Ivory White,#FFFFF0,235
PR-00027,PC-031,214144.19,61.0,2,Forest Green,#228B22,206
PR-00028,PC-025,365151.66,157.0,5,Sage Green,#9CAF88,243
PR-00029,PC-027,331291.5,79.3,2,Ivory White,#FFFFF0,259
PR-00030,PC-031,332359.46,156.6,5,Ivory White,#FFFFF0,256
PR-00031,PC-044,304621.67,40.9,1,Terracotta,#E2725B,128
PR-00032,PC-044,442301.87,149.0,4,Terracotta,#E2725B,169
PR-00033,PC-049,540318.41,179.5,6,Mustard Yellow,#E1AD01,59
PR-00034,PC-004,505376.85,196.7,6,Ivory White,#FFFFF0,60
PR-00035,PC-047,297062.96,58.0,2,Blush Pink,#F9C6C9,234
PR-00036,PC-017,214124.7,47.1,2,Charcoal Black,#36454F,202
PR-00037,PC-036,321130.99,49.2,2,Blush Pink,#F9C6C9,264
PR-00038,PC-042,374070.91,165.1,7,Mustard Yellow,#E1AD01,293
PR-00039,PC-002,378231.42,165.6,5,Terracotta,#E2725B,17
PR-00040,PC-023,445451.74,183.2,6,Forest Green,#228B22,142
PR-00041,PC-032,557473.56,178.8,7,Terracotta,#E2725B,247
PR-00042,PC-004,363013.7,81.8,3,Sky Blue,#87CEEB,18
PR-00043,PC-027,428985.87,149.0,5,Blush Pink,#F9C6C9,77
PR-00044,PC-006,261199.03,45.8,2,Ivory White,#FFFFF0,295
PR-00045,PC-016,284891.8,68.3,1,Sage Green,#9CAF88,92
PR-00046,PC-034,304217.51,56.5,2,Blush Pink,#F9C6C9,288
PR-00047,PC-047,486996.42,206.1,7,Sky Blue,#87CEEB,214
PR-00048,PC-045,144227.96,35.3,1,Sand Beige,#F4E1C1,30
PR-00049,PC-030,301090.34,95.4,3,Forest Green,#228B22,146
PR-00050,PC-035,321159.63,143.5,5,Sage Green,#9CAF88,37
PR-00051,PC-005,375203.28,105.3,4,Sky Blue,#87CEEB,71
PR-00052,PC-024,343720.58,145.1,4,Charcoal Black,#36454F,104
PR-00053,PC-032,511296.96,151.1,5,Terracotta,#E2725B,130
PR-00054,PC-014,445019.2,175.8,6,Forest Green,#228B22,122
PR-00055,PC-045,284081.92,143.5,5,Sky Blue,#87CEEB,152
PR-00056,PC-049,413210.94,76.6,2,Ivory White,#FFFFF0,63
PR-00057,PC-016,288694.77,61.5,1,Sage Green,#9CAF88,141
PR-00058,PC-034,373153.01,113.6,4,Mustard Yellow,#E1AD01,153
PR-00059,PC-018,335606.35,155.8,5,Sage Green,#9CAF88,118
PR-00060,PC-006,410597.44,157.8,6,Sand Beige,#F4E1C1,11
PR-00061,PC-036,475333.02,165.2,7,Sage Green,#9CAF88,14
PR-00062,PC-044,430166.85,137.6,5,Sky Blue,#87CEEB,3
PR-00063,PC-041,253196.33,77.3,2,Sand Beige,#F4E1C1,3
PR-00064,PC-042,418377.06,202.6,7,Sage Green,#9CAF88,287
PR-00065,PC-043,237962.68,107.3,3,Ivory White,#FFFFF0,195
PR-00066,PC-023,438849.52,173.2,6,Ivory White,#FFFFF0,167
PR-00067,PC-047,434476.96,168.4,6,Terracotta,#E2725B,30
PR-00068,PC-037,460313.74,157.8,6,Terracotta,#E2725B,161
PR-00069,PC-032,552596.32,176.6,6,Ivory White,#FFFFF0,177
PR-00070,PC-022,492746.12,201.4,7,Blush Pink,#F9C6C9,66
PR-00071,PC-039,467018.85,193.8,7,Sand Beige,#F4E1C1,248
PR-00072,PC-044,530895.24,209.4,7,Sand Beige,#F4E1C1,4
PR-00073,PC-033,484442.55,169.8,7,Sand Beige,#F4E1C1,155
PR-00074,PC-026,362960.47,197.1,6,Sage Green,#9CAF88,217
PR-00075,PC-004,538566.37,216.5,7,Mustard Yellow,#E1AD01,229
PR-00076,PC-015,318798.15,99.4,4,Terracotta,#E2725B,130
PR-00077,PC-030,333268.24,123.5,4,Sky Blue,#87CEEB,98
PR-00078,PC-026,276361.06,126.8,4,Charcoal Black,#36454F,222
PR-00079,PC-006,293608.9,73.4,2,Sage Green,#9CAF88,208
PR-00080,PC-044,398951.72,111.8,3,Sky Blue,#87CEEB,82
PR-00081,PC-018,279449.64,108.6,4,Charcoal Black,#36454F,270
PR-00082,PC-046,420185.7,190.7,7,Ivory White,#FFFFF0,99
PR-00083,PC-037,498427.91,195.2,6,Sand Beige,#F4E1C1,29
PR-00084,PC-003,307956.3,155.7,5,Sage Green,#9CAF88,204
PR-00085,PC-007,221837.88,95.6,3,Slate Gray,#708090,135
PR-00086,PC-009,483258.27,173.4,6,Terracotta,#E2725B,182
PR-00087,PC-049,495467.01,135.1,5,Sage Green,#9CAF88,60
PR-00088,PC-014,399761.15,144.1,5,Ivory White,#FFFFF0,158
PR-00089,PC-022,320728.25,79.3,2,Ivory White,#FFFFF0,139
PR-00090,PC-050,399410.33,175.3,7,Blush Pink,#F9C6C9,263
PR-00091,PC-040,401677.65,135.8,4,Blush Pink,#F9C6C9,233
PR-00092,PC-010,448767.97,150.2,5,Slate Gray,#708090,180
PR-00093,PC-021,366155.32,119.4,4,Forest Green,#228B22,95
PR-00094,PC-037,493234.46,188.5,7,Terracotta,#E2725B,97
PR-00095,PC-042,331637.35,137.8,5,Blush Pink,#F9C6C9,129
PR-00096,PC-003,288797.01,140.5,5,Forest Green,#228B22,94
PR-00097,PC-020,451582.9,156.5,5,Terracotta,#E2725B,128
PR-00098,PC-041,317787.38,127.9,4,Slate Gray,#708090,242
PR-00099,PC-040,446264.42,169.6,6,Sand Beige,#F4E1C1,58
PR-00100,PC-030,297111.65,88.5,3,Sand Beige,#F4E1C1,111
PR-00101,PC-012,429630.63,176.0,6,Sage Green,#9CAF88,298
PR-00102,PC-048,546082.04,173.7,6,Sand Beige,#F4E1C1,98
PR-00103,PC-022,344051.33,94.7,4,Sand Beige,#F4E1C1,150
PR-00104,PC-032,382777.58,50.9,1,Terracotta,#E2725B,180
PR-00105,PC-035,349046.28,163.5,6,Ivory White,#FFFFF0,200
PR-00106,PC-040,445197.93,160.4,6,Sky Blue,#87CEEB,101
PR-00107,PC-003,162154.07,38.3,2,Mustard Yellow,#E1AD01,30
PR-00108,PC-007,296235.62,148.9,5,Sky Blue,#87CEEB,39
PR-00109,PC-032,548553.82,177.9,5,Ivory White,#FFFFF0,22
PR-00110,PC-019,353071.76,112.0,3,Terracotta,#E2725B,80
PR-00111,PC-007,153940.7,41.5,1,Slate Gray,#708090,226
PR-00112,PC-012,337388.18,113.9,3,Sand Beige,#F4E1C1,12
PR-00113,PC-002,314957.67,115.1,4,Mustard Yellow,#E1AD01,232
PR-00114,PC-003,259662.78,114.4,4,Mustard Yellow,#E1AD01,235
PR-00115,PC-035,269645.44,105.8,3,Sage Green,#9CAF88,139
PR-00116,PC-043,240928.33,115.8,3,Ivory White,#FFFFF0,121
PR-00117,PC-002,260357.32,75.5,2,Slate Gray,#708090,14
PR-00118,PC-029,79370.62,57.3,1,Terracotta,#E2725B,169
PR-00119,PC-037,515742.22,203.3,7,Blush Pink,#F9C6C9,137
PR-00120,PC-039,277239.22,54.1,1,Sky Blue,#87CEEB,162
PR-00121,PC-019,344039.95,100.8,4,Ivory White,#FFFFF0,259
PR-00122,PC-014,299519.51,63.8,2,Mustard Yellow,#E1AD01,57
PR-00123,PC-031,241075.38,85.8,2,Charcoal Black,#36454F,284
PR-00124,PC-039,373004.29,125.5,4,Sky Blue,#87CEEB,15
PR-00125,PC-049,472170.29,116.3,4,Sand Beige,#F4E1C1,205
PR-00126,PC-001,362260.04,130.4,3,Sage Green,#9CAF88,156
PR-00127,PC-048,463734.29,115.5,3,Sage Green,#9CAF88,53
PR-00128,PC-024,348098.21,143.4,5,Sage Green,#9CAF88,126
PR-00129,PC-043,150408.34,38.3,1,Terracotta,#E2725B,134
PR-00130,PC-013,449370.44,134.4,3,Mustard Yellow,#E1AD01,85
PR-00131,PC-045,172388.27,58.4,2,Terracotta,#E2725B,116
PR-00132,PC-023,420680.93,161.5,6,Ivory White,#FFFFF0,138
PR-00133,PC-040,292857.13,44.4,2,Mustard Yellow,#E1AD01,292
PR-00134,PC-005,325322.38,58.3,4,Charcoal Black,#36454F,23
PR-00135,PC-035,234132.72,84.4,2,Charcoal Black,#36454F,165
PR-00136,PC-012,378140.21,142.1,5,Mustard Yellow,#E1AD01,20
PR-00137,PC-020,386623.03,99.6,4,Blush Pink,#F9C6C9,192
PR-00138,PC-017,406004.78,200.5,5,Slate Gray,#708090,131
PR-00139,PC-050,410489.22,191.8,7,Mustard Yellow,#E1AD01,17
PR-00140,PC-045,286347.5,151.0,5,Blush Pink,#F9C6C9,161
PR-00141,PC-027,510438.49,208.8,6,Mustard Yellow,#E1AD01,293
PR-00142,PC-018,219669.82,63.5,3,Slate Gray,#708090,169
PR-00143,PC-033,390559.95,101.3,4,Sand Beige,#F4E1C1,269
PR-00144,PC-048,415661.16,75.2,2,Slate Gray,#708090,125
PR-00145,PC-019,475271.13,203.7,7,Slate Gray,#708090,255
PR-00146,PC-017,233434.34,57.9,1,Sky Blue,#87CEEB,54
PR-00147,PC-020,409334.09,116.7,5,Terracotta,#E2725B,34
