review_id,property_id,review_rating,sentiment_score,review_date,flagged_for_moderation
RV-000001,PR-00001,3,29.0,2024-10-01,False
RV-000002,PR-00001,2,31.9,2024-09-16,True
RV-000003,PR-00001,3,34.7,2024-10-26,True
RV-000004,PR-00002,3,39.2,2025-06-22,False
RV-000005,PR-00002,2,32.9,2025-08-04,True
RV-000006,PR-00002,2,43.2,2025-02-06,False
RV-000007,PR-00003,4,68.0,2025-04-24,False
RV-000008,PR-00003,3,76.5,2026-01-24,False
RV-000009,PR-00003,3,77.8,2024-09-13,False
RV-000010,PR-00004,3,42.3,2026-08-02,True
RV-000011,PR-00004,2,43.3,2026-03-31,False
RV-000012,PR-00004,2,49.1,2026-01-20,True
RV-000013,PR-00005,4,47.9,2024-11-11,True
RV-000014,PR-00005,3,50.2,2024-09-30,True
RV-000015,PR-00005,3,60.2,2025-04-01,False
RV-000016,PR-00006,4,76.9,2025-10-23,False
RV-000017,PR-00006,4,75.3,2025-12-06,True
RV-000018,PR-00006,4,74.5,2026-08-15,False
RV-000019,PR-00007,2,40.1,2024-10-09,True
RV-000020,PR-00007,3,43.5,2025-10-08,False
RV-000021,PR-00007,2,42.7,2026-07-18,True
RV-000022,PR-00008,3,43.1,2025-11-18,False
RV-000023,PR-00008,3,48.5,2025-05-24,True
RV-000024,PR-00008,3,52.9,2025-10-05,True
RV-000025,PR-00009,3,42.5,2025-11-29,True
RV-000026,PR-00009,3,46.6,2025-03-25,False
RV-000027,PR-00009,3,48.1,2026-07-06,True
RV-000028,PR-00010,2,54.3,2026-06-05,True
RV-000029,PR-00010,3,57.3,2025-05-15,True
RV-000030,PR-00010,3,55.9,2025-11-20,True
RV-000031,PR-00011,4,82.4,2025-01-25,False
RV-000032,PR-00011,4,84.9,2026-01-07,False
RV-000033,PR-00011,5,69.1,2025-10-11,False
RV-000034,PR-00012,4,62.4,2026-07-02,False
RV-000035,PR-00012,4,78.0,2026-07-20,False
RV-000036,PR-00012,4,81.7,2025-11-13,False
RV-000037,PR-00013,4,73.7,2026-02-03,False
RV-000038,PR-00013,4,72.3,2026-01-13,False
RV-000039,PR-00013,4,89.8,2026-06-23,True
RV-000040,PR-00014,2,31.8,2025-06-29,False
RV-000041,PR-00014,2,30.3,2025-05-12,False
RV-000042,PR-00014,2,26.4,2024-12-06,False
RV-000043,PR-00015,4,85.4,2025-01-19,False
RV-000044,PR-00015,4,82.4,2026-08-30,True
RV-000045,PR-00015,4,87.0,2026-03-02,True
RV-000046,PR-00016,2,23.3,2026-07-15,True
RV-000047,PR-00016,2,25.4,2026-03-07,False
RV-000048,PR-00016,1,33.0,2025-01-21,False
RV-000049,PR-00017,3,46.7,2025-12-11,True
RV-000050,PR-00017,3,54.4,2024-09-19,True
RV-000051,PR-00017,3,53.5,2025-06-01,True
RV-000052,PR-00018,4,88.8,2025-06-26,True
RV-000053,PR-00018,4,87.4,2025-05-13,True
RV-000054,PR-00018,5,89.9,2025-12-27,True
RV-000055,PR-00019,4,53.1,2025-02-25,True
RV-000056,PR-00019,4,40.1,2026-09-09,False
RV-000057,PR-00019,2,38.6,2025-05-24,False
RV-000058,PR-00020,4,73.7,2026-05-04,False
RV-000059,PR-00020,4,70.4,2025-04-19,True
RV-000060,PR-00020,4,81.3,2025-07-26,True
RV-000061,PR-00021,3,38.5,2024-10-14,False
RV-000062,PR-00021,3,33.4,2026-07-26,True
RV-000063,PR-00021,3,35.2,2024-09-14,True
RV-000064,PR-00022,3,67.2,2026-01-03,True
RV-000065,PR-00022,3,48.2,2025-02-04,False
RV-000066,PR-00022,3,68.8,2025-07-26,True
RV-000067,PR-00023,3,39.7,2025-08-15,True
RV-000068,PR-00023,3,50.5,2025-08-07,False
RV-000069,PR-00023,3,45.4,2024-12-17,True
RV-000070,PR-00024,4,68.9,2026-02-11,True
RV-000071,PR-00024,4,82.0,2025-05-01,False
RV-000072,PR-00024,4,68.3,2024-11-27,True
RV-000073,PR-00025,3,64.6,2025-10-03,False
RV-000074,PR-00025,4,52.8,2026-08-20,True
RV-000075,PR-00025,3,60.6,2025-04-08,False
RV-000076,PR-00026,4,87.0,2025-07-30,True
RV-000077,PR-00026,4,82.9,2025-12-22,True
RV-000078,PR-00026,4,94.3,2026-06-09,False
RV-000079,PR-00027,2,14.1,2025-06-09,True
RV-000080,PR-00027,2,28.8,2025-09-02,False
RV-000081,PR-00027,2,35.8,2026-02-14,False
RV-000082,PR-00028,3,57.2,2025-06-23,False
RV-000083,PR-00028,3,61.4,2026-02-07,True
RV-000084,PR-00028,3,39.6,2025-07-17,False
RV-000085,PR-00029,3,47.9,2024-12-14,True
RV-000086,PR-00029,3,41.9,2025-06-02,False
RV-000087,PR-00029,4,47.2,2024-12-10,False
RV-000088,PR-00030,3,52.1,2024-11-05,False
RV-000089,PR-00030,2,54.1,2024-10-17,False
RV-000090,PR-00030,3,55.9,2024-10-24,True
RV-000091,PR-00031,3,56.0,2026-01-22,False
RV-000092,PR-00031,3,47.7,2026-01-20,False
RV-000093,PR-00031,3,52.5,2025-06-23,True
RV-000094,PR-00032,4,70.4,2024-11-11,False
RV-000095,PR-00032,3,64.5,2026-01-23,True
RV-000096,PR-00032,4,65.3,2025-03-08,False
RV-000097,PR-00033,4,91.8,2025-02-12,False
RV-000098,PR-00033,5,89.4,2026-08-25,False
RV-000099,PR-00033,5,84.0,2025-09-24,False
RV-000100,PR-00034,4,79.7,2025-12-20,True
RV-000101,PR-00034,4,84.9,2024-12-22,False
RV-000102,PR-00034,5,77.7,2026-01-28,False
RV-000103,PR-00035,3,47.2,2025-11-09,True
RV-000104,PR-00035,3,36.4,2025-06-24,True
RV-000105,PR-00035,3,37.1,2025-04-19,True
RV-000106,PR-00036,2,28.9,2026-02-03,False
RV-000107,PR-00036,2,30.1,2026-07-05,False
RV-000108,PR-00036,2,19.3,2025-09-03,False
RV-000109,PR-00037,2,54.8,2025-12-28,False
RV-000110,PR-00037,3,57.8,2024-09-19,False
RV-000111,PR-00037,3,39.5,2025-03-03,True
RV-000112,PR-00038,3,45.4,2026-08-17,True
RV-000113,PR-00038,3,53.8,2025-01-21,False
RV-000114,PR-00038,3,49.0,2025-04-08,True
RV-000115,PR-00039,3,56.9,2025-12-04,False
RV-000116,PR-00039,3,52.8,2025-03-20,False
RV-000117,PR-00039,3,66.5,2025-10-12,True
RV-000118,PR-00040,3,68.5,2024-12-10,False
RV-000119,PR-00040,4,71.6,2024-11-01,False
RV-000120,PR-00040,4,74.6,2025-11-19,False
RV-000121,PR-00041,5,100.0,2024-10-19,True
RV-000122,PR-00041,5,91.8,2026-06-03,True
RV-000123,PR-00041,4,100.0,2025-05-28,False
RV-000124,PR-00042,3,58.2,2025-03-18,False
RV-000125,PR-00042,4,57.7,2025-02-05,True
RV-000126,PR-00042,3,54.4,2025-11-18,False
RV-000127,PR-00043,4,67.3,2025-06-26,True
RV-000128,PR-00043,3,56.0,2026-06-26,True
RV-000129,PR-00043,4,69.3,2025-11-08,True
RV-000130,PR-00044,2,40.5,2024-10-05,False
RV-000131,PR-00044,2,27.4,2026-02-02,False
RV-000132,PR-00044,2,35.2,2024-09-19,False
RV-000133,PR-00045,2,46.2,2026-04-15,False
RV-000134,PR-00045,3,54.6,2025-01-27,True
RV-000135,PR-00045,3,43.2,2025-03-08,False
RV-000136,PR-00046,4,44.0,2025-07-31,False
RV-000137,PR-00046,3,42.0,2026-04-12,False
RV-000138,PR-00046,3,41.9,2024-12-09,True
RV-000139,PR-00047,4,92.6,2026-02-12,True
RV-000140,PR-00047,4,72.9,2026-08-16,True
RV-000141,PR-00047,4,79.7,2026-06-16,True
RV-000142,PR-00048,2,14.5,2026-02-28,False
RV-000143,PR-00048,2,19.1,2026-08-21,False
RV-000144,PR-00048,1,16.9,2026-07-15,True
RV-000145,PR-00049,3,56.6,2024-10-30,False
RV-000146,PR-00049,3,41.8,2025-10-08,True
RV-000147,PR-00049,3,41.7,2024-12-11,False
RV-000148,PR-00050,3,43.0,2024-09-25,False
RV-000149,PR-00050,3,38.5,2025-10-01,True
RV-000150,PR-00050,3,57.6,2025-05-14,False
RV-000151,PR-00051,4,59.0,2026-08-14,False
RV-000152,PR-00051,3,50.3,2025-02-05,False
RV-000153,PR-00051,3,64.4,2024-12-27,False
RV-000154,PR-00052,3,53.1,2026-01-26,True
RV-000155,PR-00052,3,50.3,2025-01-03,False
RV-000156,PR-00052,3,51.0,2026-04-11,False
RV-000157,PR-00053,4,71.5,2025-06-18,False
RV-000158,PR-00053,4,86.9,2026-03-16,True
RV-000159,PR-00053,4,77.3,2025-01-13,True
RV-000160,PR-00054,4,68.0,2025-05-15,False
RV-000161,PR-00054,4,72.2,2024-12-31,False
RV-000162,PR-00054,4,67.9,2026-02-02,False
RV-000163,PR-00055,3,38.6,2026-01-23,False
RV-000164,PR-00055,2,42.1,2025-09-03,True
RV-000165,PR-00055,3,34.2,2026-01-20,False
RV-000166,PR-00056,4,66.1,2024-10-27,True
RV-000167,PR-00056,3,56.4,2024-09-29,True
RV-000168,PR-00056,4,68.0,2024-10-15,True
RV-000169,PR-00057,2,43.6,2026-06-06,False
RV-000170,PR-00057,3,43.4,2026-07-28,False
RV-000171,PR-00057,2,37.6,2025-04-26,False
RV-000172,PR-00058,4,53.1,2026-07-09,True
RV-000173,PR-00058,4,66.1,2025-07-11,True
RV-000174,PR-00058,4,61.6,2024-09-28,True
RV-000175,PR-00059,3,43.5,2025-02-21,False
RV-000176,PR-00059,3,49.4,2026-07-29,True
RV-000177,PR-00059,3,46.4,2024-09-29,False
RV-000178,PR-00060,4,63.0,2026-07-18,False
RV-000179,PR-00060,4,59.2,2025-11-20,True
RV-000180,PR-00060,3,70.7,2025-02-14,True
RV-000181,PR-00061,4,77.1,2025-09-12,True
RV-000182,PR-00061,4,76.7,2025-09-08,True
RV-000183,PR-00061,4,66.6,2025-12-31,False
RV-000184,PR-00062,3,61.6,2025-11-09,False
RV-000185,PR-00062,3,71.8,2026-08-27,True
RV-000186,PR-00062,4,75.4,2025-09-04,False
RV-000187,PR-00063,3,19.8,2025-07-12,True
RV-000188,PR-00063,2,34.8,2025-12-10,True
RV-000189,PR-00063,3,40.4,2026-05-19,True
RV-000190,PR-00064,4,73.7,2026-06-05,False
RV-000191,PR-00064,4,59.2,2024-10-18,True
RV-000192,PR-00064,3,69.8,2025-10-27,False
RV-000193,PR-00065,3,25.5,2024-10-03,True
RV-000194,PR-00065,2,30.1,2025-07-15,False
RV-000195,PR-00065,3,27.0,2025-09-06,False
RV-000196,PR-00066,3,64.8,2025-05-20,False
RV-000197,PR-00066,4,55.0,2025-03-19,True
RV-000198,PR-00066,4,82.0,2025-11-24,True
RV-000199,PR-00067,5,68.0,2025-11-12,False
RV-000200,PR-00067,4,63.4,2025-08-06,True
RV-000201,PR-00067,4,66.9,2024-11-17,True
RV-000202,PR-00068,4,77.3,2024-12-15,False
RV-000203,PR-00068,4,67.7,2025-11-23,True
RV-000204,PR-00068,4,79.7,2025-08-31,False
RV-000205,PR-00069,5,89.7,2024-10-03,False
RV-000206,PR-00069,4,92.8,2025-06-03,True
RV-000207,PR-00069,4,81.5,2025-08-01,True
RV-000208,PR-00070,4,83.9,2025-01-25,True
RV-000209,PR-00070,4,83.6,2026-06-27,True
RV-000210,PR-00070,4,75.9,2026-01-02,False
RV-000211,PR-00071,3,66.5,2025-03-04,False
RV-000212,PR-00071,4,82.7,2025-04-02,False
RV-000213,PR-00071,4,70.0,2026-08-03,False
RV-000214,PR-00072,4,83.1,2025-03-31,False
RV-000215,PR-00072,4,77.9,2026-06-26,True
RV-000216,PR-00072,5,92.8,2026-08-29,True
RV-000217,PR-00073,4,77.2,2025-08-09,True
RV-000218,PR-00073,5,79.6,2025-06-10,False
RV-000219,PR-00073,3,87.6,2025-01-14,True
RV-000220,PR-00074,3,53.0,2025-01-23,True
RV-000221,PR-00074,3,59.4,2026-07-03,False
RV-000222,PR-00074,3,55.5,2026-01-06,False
RV-000223,PR-00075,4,85.4,2026-02-02,False
RV-000224,PR-00075,5,77.8,2024-11-13,False
RV-000225,PR-00075,4,81.0,2025-01-28,True
RV-000226,PR-00076,3,44.0,2026-08-30,True
RV-000227,PR-00076,2,54.4,2024-11-08,True
RV-000228,PR-00076,3,45.2,2025-01-01,True
RV-000229,PR-00077,3,56.2,2026-01-06,False
RV-000230,PR-00077,4,49.3,2025-10-05,True
RV-000231,PR-00077,2,52.2,2025-02-16,True
RV-000232,PR-00078,2,47.5,2024-11-28,True
RV-000233,PR-00078,2,36.8,2025-12-17,True
RV-000234,PR-00078,2,37.9,2026-01-25,True
RV-000235,PR-00079,2,40.0,2026-07-15,False
RV-000236,PR-00079,2,43.9,2026-08-07,True
RV-000237,PR-00079,3,41.5,2026-02-17,True
RV-000238,PR-00080,3,72.3,2026-03-28,False
RV-000239,PR-00080,4,65.7,2024-11-20,False
RV-000240,PR-00080,4,61.7,2025-12-20,True
RV-000241,PR-00081,2,40.5,2025-10-19,True
RV-000242,PR-00081,2,40.7,2024-12-21,True
RV-000243,PR-00081,2,29.4,2024-10-11,True
RV-000244,PR-00082,4,64.0,2025-02-12,False
RV-000245,PR-00082,4,66.9,2025-08-15,False
RV-000246,PR-00082,4,60.4,2025-08-11,True
RV-000247,PR-00083,4,83.9,2025-07-13,False
RV-000248,PR-00083,4,85.3,2024-11-10,True
RV-000249,PR-00083,4,67.7,2026-01-09,False
RV-000250,PR-00084,2,46.7,2025-12-09,True
RV-000251,PR-00084,3,44.5,2024-10-21,True
RV-000252,PR-00084,3,35.4,2026-07-06,False
RV-000253,PR-00085,2,29.8,2026-03-05,True
RV-000254,PR-00085,2,30.7,2025-08-17,False
RV-000255,PR-00085,2,37.9,2024-10-30,True
RV-000256,PR-00086,4,78.8,2024-12-02,False
RV-000257,PR-00086,5,78.0,2025-10-19,False
RV-000258,PR-00086,5,76.8,2026-09-04,True
RV-000259,PR-00087,4,85.5,2025-07-18,False
RV-000260,PR-00087,4,76.8,2025-01-17,False
RV-000261,PR-00087,4,89.3,2026-05-10,False
RV-000262,PR-00088,3,62.2,2026-07-24,True
RV-000263,PR-00088,4,60.7,2026-08-14,False
RV-000264,PR-00088,3,57.3,2024-12-27,False
RV-000265,PR-00089,3,44.3,2025-02-18,False
RV-000266,PR-00089,3,47.8,2025-08-09,True
RV-000267,PR-00089,3,51.4,2025-01-13,True
RV-000268,PR-00090,3,47.9,2026-02-15,True
RV-000269,PR-00090,3,53.8,2025-04-18,True
RV-000270,PR-00090,4,60.2,2025-06-09,True
RV-000271,PR-00091,3,65.4,2025-05-03,True
RV-000272,PR-00091,3,59.5,2026-06-24,True
RV-000273,PR-00091,4,64.1,2026-05-01,True
RV-000274,PR-00092,4,76.5,2025-08-15,False
RV-000275,PR-00092,4,65.5,2026-01-24,False
RV-000276,PR-00092,4,73.6,2024-12-16,False
RV-000277,PR-00093,3,45.1,2026-03-28,False
RV-000278,PR-00093,4,55.3,2026-07-21,False
RV-000279,PR-00093,4,55.9,2026-07-05,True
RV-000280,PR-00094,4,74.2,2025-12-02,True
RV-000281,PR-00094,4,80.9,2024-12-21,True
RV-000282,PR-00094,4,78.3,2026-08-13,True
RV-000283,PR-00095,4,48.2,2024-11-18,False
RV-000284,PR-00095,3,37.7,2026-04-16,True
RV-000285,PR-00095,3,49.4,2024-09-11,True
RV-000286,PR-00096,3,36.8,2026-04-22,False
RV-000287,PR-00096,3,39.6,2025-01-03,True
RV-000288,PR-00096,3,34.9,2025-01-13,True
RV-000289,PR-00097,3,81.1,2026-01-19,False
