station_id,monthly_temp,monthly_precipitations,monthly_wind_speed,monthly_humidity
PR-00001,13.3,70.7,11.3,53.5
PR-00002,20.3,56.3,12.2,64.3
PR-00003,18.0,57.7,12.2,63.7
PR-00004,18.9,57.6,12.1,60.9
PR-00005,19.7,55.6,12.5,62.5
PR-00006,19.5,49.2,12.2,63.4
PR-00007,12.8,75.6,10.4,52.3
PR-00008,15.1,58.3,12.2,56.9
PR-00009,18.4,54.8,11.2,61.1
PR-00010,19.5,54.4,12.4,61.9
PR-00011,19.2,56.5,12.1,64.7
PR-00012,11.2,72.2,10.2,53.4
PR-00013,14.5,76.0,11.1,55.5
PR-00014,15.4,65.6,11.9,57.6
PR-00015,14.0,73.2,11.0,54.8
PR-00016,20.0,52.3,11.7,64.7
PR-00017,18.5,60.4,12.4,60.9
PR-00018,16.5,68.9,11.5,57.4
PR-00019,20.1,51.2,12.7,64.4
PR-00020,18.5,61.2,11.9,60.3
PR-00021,13.8,69.8,11.6,56.6
PR-00022,18.3,59.9,13.1,62.3
PR-00023,16.1,61.0,11.8,57.8
PR-00024,17.1,60.6,11.2,58.3
PR-00025,19.6,51.8,11.6,60.7
PR-00026,17.2,55.7,11.7,58.8
PR-00027,15.6,64.4,11.2,57.0
PR-00028,18.3,59.1,11.7,62.2
PR-00029,14.1,63.4,11.2,55.1
PR-00030,15.6,70.7,11.7,56.4
PR-00031,15.6,72.1,11.5,56.3
PR-00032,20.8,51.1,12.7,64.6
PR-00033,14.2,65.5,10.6,55.8
PR-00034,19.1,59.5,12.2,63.3
PR-00035,19.3,59.0,12.3,61.2
PR-00036,19.2,54.9,12.0,62.1
PR-00037,16.7,64.5,12.0,59.8
PR-00038,18.4,56.2,12.2,63.2
PR-00039,20.6,50.1,13.2,65.2
PR-00040,13.7,72.9,10.9,56.4
PR-00041,15.4,62.0,11.9,53.2
PR-00042,21.4,52.7,12.6,65.0
PR-00043,18.1,56.7,11.9,60.7
PR-00044,13.8,73.3,11.4,54.9
PR-00045,16.5,60.9,11.9,59.6
PR-00046,14.5,64.8,11.6,59.6
PR-00047,17.4,59.8,12.8,60.1
PR-00048,19.8,50.4,13.0,63.9
PR-00049,19.0,57.5,12.2,61.4
PR-00050,18.4,54.3,11.6,61.2
PR-00051,15.8,62.3,10.8,57.0
PR-00052,18.4,60.0,11.3,61.6
PR-00053,11.5,77.0,11.1,51.5
PR-00054,15.4,60.8,11.7,56.0
PR-00055,19.7,55.2,11.0,62.8
PR-00056,18.4,52.9,12.2,61.3
PR-00057,14.7,73.3,11.2,58.3
PR-00058,19.9,52.1,12.8,63.7
PR-00059,18.6,57.8,12.6,61.9
PR-00060,20.1,52.8,13.8,62.6
PR-00061,15.0,67.5,11.4,56.6
PR-00062,21.7,43.2,13.4,64.6
PR-00063,15.5,64.8,11.6,56.9
PR-00064,19.3,57.1,13.0,62.8
PR-00065,11.8,73.6,9.9,53.7
PR-00066,14.3,65.4,11.3,57.3
PR-00067,20.8,57.4,12.6,65.8
PR-00068,16.0,66.5,12.0,57.4
PR-00069,21.4,48.3,13.0,63.0
PR-00070,17.3,61.2,11.7,60.0
PR-00071,15.6,64.7,12.3,59.3
PR-00072,17.7,52.5,12.1,62.9
PR-00073,20.9,52.6,12.8,64.6
PR-00074,17.5,62.1,12.0,61.2
PR-00075,18.7,64.1,12.2,60.5
PR-00076,18.2,64.1,12.3,58.7
PR-00077,16.4,58.3,11.8,59.2
PR-00078,16.5,59.9,11.6,58.9
PR-00079,18.8,55.2,12.3,61.4
PR-00080,12.7,69.9,10.6,55.4
PR-00081,16.0,66.6,11.6,56.4
PR-00082,14.5,60.6,12.4,58.9
PR-00083,15.9,64.5,11.7,56.5
PR-00084,14.8,68.7,11.4,56.0
PR-00085,17.2,60.7,12.5,57.2
PR-00086,16.4,71.2,11.7,57.8
PR-00087,18.3,58.4,12.4,62.2
PR-00088,18.9,58.7,12.7,61.7
PR-00089,17.0,62.4,11.9,58.0
PR-00090,16.9,62.0,12.1,59.1
PR-00091,19.1,55.9,12.3,61.6
PR-00092,15.9,64.3,11.9,58.0
PR-00093,19.0,50.0,12.1,59.4
PR-00094,13.2,76.1,10.7,54.3
PR-00095,17.7,51.1,12.8,62.6
PR-00096,14.4,62.9,11.6,56.3
PR-00097,20.2,53.1,12.9,66.0
PR-00098,20.4,57.8,13.1,63.4
PR-00099,21.0,50.2,12.6,64.6
PR-00100,17.5,56.0,12.0,59.7
PR-00101,16.6,65.8,10.6,55.4
PR-00102,14.5,65.1,10.8,54.2
PR-00103,17.0,57.9,11.7,57.5
PR-00104,12.7,73.9,10.5,54.1
PR-00105,17.3,55.7,12.0,59.1
PR-00106,17.2,63.0,11.8,59.4
PR-00107,18.2,58.8,12.1,61.4
PR-00108,20.6,50.1,12.5,65.3
PR-00109,17.2,58.7,12.2,60.5
PR-00110,18.3,60.2,11.9,61.8
PR-00111,17.6,53.6,12.0,60.7
PR-00112,18.4,57.1,12.5,62.0
PR-00113,17.5,64.4,11.7,60.0
PR-00114,18.0,59.7,12.1,60.9
PR-00115,11.6,75.5,10.1,54.3
PR-00116,17.2,59.2,12.0,59.6
PR-00117,16.5,57.9,11.5,59.5
